id,question,A,B,C,D,solution,category,difficulty
830,Which salt hydrolyzes to form an acidic solution?,NH₄Cl,NaCl,KNO₃,CaCl₂,A,general ,medium
831,What is the formal charge on nitrogen in NH₄⁺?,1,0,–1,2,A,general ,medium
832,Which law states V/T = constant?,Charles’s law,Boyle’s law,Avogadro’s law,Gay–Lussac’s law,A,general ,medium
833,"In mass spectrometry, the base peak is:",Most abundant fragment,Molecular ion,Isotope peak,M+1 peak,A,general ,medium
834,Which describes a catalyst?,Speeds up without being consumed,Consumed in reaction,Changes equilibrium,Increases activation energy,A,general ,medium
835,An endothermic reaction has ΔH:,Positive,Negative,Zero,Undefined,A,general ,medium
836,Which property of water is due to hydrogen bonding?,High surface tension,Low specific heat,High vapor pressure,Low density,A,general ,medium
837,What mass of NaCl is needed for 2 L of 0.5 M solution?,58.44 g,29.22 g,116.88 g,14.61 g,A,general ,medium
838,What is the standard potential of the hydrogen electrode?,0 V,0.34 V,1.23 V,–0.76 V,A,general ,medium
839,Which solute lowers the freezing point of water most?,NaCl,CH₃OH,C₆H₁₂O₆,CO₂,A,general ,medium
840,What is the IUPAC name of CH₃CH₂OH?,Ethanol,Methanol,Ethane,Ethanal,A,general ,medium
841,Which element has the configuration [Ar]4s²3d¹⁰4p⁵?,Bromine,Selenium,Krypton,Calcium,A,general ,medium
842,"In an endothermic reaction, energy is:",Absorbed,Released,Conserved,Created,A,general ,medium
843,Which is an oxidizing agent?,KMnO₄,H₂,NaBH₄,LiAlH₄,A,general ,medium
844,Which law describes partial pressures in gas mixtures?,Dalton’s law,Boyle’s law,Charles’s law,Graham’s law,A,general ,medium
845,Which principle explains filling lower energy orbitals first?,Aufbau principle,Hund’s rule,Pauli exclusion principle,Heisenberg uncertainty principle,A,general ,medium
846,How many stereoisomers does²⁻butene have?,2,1,3,4,A,general ,medium
847,Liquid-liquid extraction separates compounds based on:,Solubility differences,Boiling points,Density differences,Magnetic properties,A,general ,medium
848,Which molecule contains a coordinate covalent bond?,NH₄⁺,O₂,CO₂,H₂O,A,general ,medium
849,For a redox reaction with standard cell potential of 1.10 V and 2 electrons transferred what is the standard free energy change ΔG° in kJ/mol?,-212 kJ,-106 kJ,+106 kJ,+212 kJ,A,general,hard
850,The half-life of a second-order reaction with rate constant 0.02 M-1 s-1 and initial concentration 0.1 M is?,500 s,50 s,250 s,1000 s,A,general,hard
851,Which equation gives photon energy in terms of frequency? ,E=hν,E=hc/λ,E=mv₂,E=RT,A,general,hard
852,Which property does the Debye–Hückel limiting law estimate in electrolyte solutions? ,activity coefficients,solubility product,ionic strength,diffusion coefficient,A,general,hard
853,What is the degree of unsaturation for a compound with formula C₁₀H₁₄O?,4,5,3,2,A,general,hard
854,Which common coordination ligand binds through two donor atoms? ,EDTA₄-,ethylenediamine,cyanide,ammonia,B,general,hard
855,In IR spectroscopy a sharp absorption near 2250 cm-1 is characteristic of which functional group? ,nitrile,alkyne,carbonyl,alcohol,A,general,hard
856,The aldehydic proton in benzaldehyde appears in 1H NMR at approximately which chemical shift? ,9.8 ppm,7.2 ppm,3.5 ppm,12 ppm,A,general,hard
857,Which polymer is formed by condensation polymerization of adipic acid with hexamethylenediamine? ,"nylon-6,6",Kevlar,polyester,polyethylene,A,general,hard
858,Estimate the UV absorption maximum (λmax) of¹³⁻butadiene using Woodward–Fieser rules.,217 nm,250 nm,200 nm,300 nm,A,general,hard
859,Which ionic compound has the highest lattice energy? ,MgO,CaO,NaF,KCl,A,general,hard
860,The high dielectric constant of water explains its ability to do what? ,dissolve ionic compounds,stabilize free radicals,lower boiling point,increase vapor pressure,A,general,hard
861,Which quantum number defines the orbital angular momentum and thus the shape of an atomic orbital? ,l,n,m,s,A,general,hard
862,Raoult’s law for vapor pressure is most accurate under what condition? ,dilute solutions,concentrated solutions,high pressures,low temperatures,A,general,hard
863,In acidic solution (pH 2) which chromium oxyanion predominates? ,CrO₄ ₂-,Cr₂O₇ 2-,Cr₃+,CrO₆ 4-,B,general,hard
864,What is the overall order of the reaction with rate law rate = k [A]2 [B]0?,2,1,3,0,A,general,hard
865,Complete combustion of 1 mole of glucose yields how many liters of CO₂ at STP? ,134.4 L,112 L,44.8 L,268.8 L,A,general,hard
866,Which process increases entropy of the universe? ,mixing ideal gases,freezing of water,condensation of steam,crystallization of salt,A,general,hard
867,What is the theoretical Van ’t Hoff factor i for MgCl₂ in an ideal dilute solution? ,3,2,1,4,A,general,hard
868,Which acid–base indicator has a transition range around pH 8.2? ,phenolphthalein,methyl orange,bromothymol blue,litmus,A,general,hard
869,Which molecular orbital in H₂ is antibonding? ,sigma 1s,sigma* 1s,pi 2p,sigma 2p,B,general,hard
870,In octahedral coordination complexes the crystal field splitting energy Δo is highest for which metal ion? ,Co₃+,Ni₂+,Fe₂+,Mn₂+,A,general,hard
871,Which metal crystal structure has both tetrahedral and octahedral interstitial sites? ,face-centered cubic,body-centered cubic,simple cubic,hexagonal close-packed,A,general,hard
872,"Under thermodynamic conditions, enolate formation favors which alkene isomer?", less substituted,more substituted,none,all,B,general,hard
873,Which reagent is used as a chiral auxiliary for NMR determination of enantiomeric excess? ,Mosher’s acid,Grignard reagent,PCC,H₂/Pd,A,general,hard
874,In Mössbauer spectroscopy, the isomer shift is most sensitive to which property? oxidation state,molecular mass,bond length,particle size,A,general,hard
875,Which polymerization process is initiated by free radicals? ,addition polymerization,condensation polymerization,ring-opening polymerization,step-growth polymerization,A,general,hard
876,Doping silicon with pentavalent phosphorus atoms yields what type of semiconductor? ,n-type,p-type,intrinsic,metallic,A,general,hard
877,In mass spectrometry, the relative intensity of the M+1 peak provides information about which element count? carbon,hydrogen,nitrogen,oxygen,A,general,hard
878,In centrosymmetric molecules the Laporte selection rule allows transitions from which parity to which parity? ,g to u,g to g,u to g,u to u,A,general,hard
879,A compound with an octanol–water partition coefficient (Kow) of 100 is best described as: ,hydrophobic,hydrophilic,neutral,amphipathic,A,general,hard
880,Which reagent is commonly used to protect alcohols as trimethylsilyl ethers? ,TMSCl,TsCl,Ac₂O,HCl,A,general,hard
881,In a Born–Haber cycle the term that represents the energy to remove an electron from a gaseous atom is the: ,electron affinity,ionization energy,lattice energy,sublimation energy,B,general,hard
882,What is the slope of the linear Arrhenius plot of ln k versus 1/T? ,-Ea/R,Ea/R,-R/Ea,R/Ea,A,general,hard
883,What is the average oxidation state of sulfur in the thiosulfate ion S₂O₃ ₂-? ,2,5,3,4,A,general,hard
884,Which process involves the spontaneous oxidation of metals in absence of an external circuit? ,corrosion,electrolysis,galvanization,catalysis,A,general,hard
885,Which type of catalysis involves changes in the oxidation state of the catalyst? ,oxidation–reduction catalysis,acid–base catalysis,radical catalysis,enzymatic catalysis,A,general,hard
886,"Estimate the fractional ionic character of HCl using Pauling electronegativities (χH=2.20, χCl=3.16).",20%,10%,50%,80%,A,general,hard
887,Which crystallographic defect consists of an extra half-plane of atoms inserted into a crystal lattice? ,edge dislocation,vacancy,interstitial,substitutional,A,general,hard
888,What is the spin-only magnetic moment of high-spin Fe₃+ (d₅) in Bohr magnetons? ,5.92,4.9,3.87,2.83,A,general,hard
889,The thermal decomposition of CaCO₃ produces a gas. What is the sign of ΔS°? ,positive,negative,zero,cannot determine,A,general,hard
890,Which principle aligns with Green Chemistry by ensuring products break down into non-harmful substances after use? ,design for degradation,maximize yield,use toxic solvents,increase energy consumption,A,general,hard
891,Which metal ion in cytochrome c oxidase active site is critical for electron transfer? ,Cu,Fe,Zn,Mg,A,general,hard
892,What term describes stabilization of ions by solvent molecules? ,solvation,sublimation,ionization,crystallization,A,general,hard
893,Which reagent is used to remove trimethylsilyl protecting groups from alcohols? ,TBAF,HCl,H₂SO₄,NaOH,A,general,hard
894,Which type of quantum statistics applies to photons and other bosons? ,Bose–Einstein,Fermi–Dirac,Maxwell–Boltzmann,Pauling,A,general,hard
895,What is the typical coordination number of water molecules around a K+ ion in aqueous solution?,6,4,8,2,A,general,hard
896,Which process predominately removes CO₂ from blood into the alveoli? ,diffusion,exhalation,convection,inhalation,A,general,hard
897,Which physiological buffer system is primary in regulating human blood pH? ,bicarbonate,phosphate,acetate,Tris,A,general,hard
898,How is the chromatographic capacity factor k' defined? ,(tR - t₀)/t₀,t₀/(tR - t₀),tR/t₀,t₀/tR,A,general,hard
899,Which physical constant appears in the Born equation for lattice energy? ,Coulomb’s constant,Planck’s constant,Boltzmann’s constant,Avogadro’s number,A,general,hard
900,Which p-block element is a true metal at room temperature? ,Polonium,Silicon,Boron,Carbon,A,general,hard
901,The kinetic isotope effect refers to change in reaction rate caused by which factor? ,isotopic substitution,equilibrium shift,solubility change,melting point change,A,general,hard
902,Which carboxylic acid has the highest pKa? ,acetic acid,formic acid,trifluoroacetic acid,benzoic acid,A,general,hard
903,In a free (Joule) expansion of an ideal gas into vacuum what is the temperature change? ,zero,positive,negative,cannot determine,A,general,hard
904,For any cyclic process which thermodynamic quantity is zero? ,ΔU,ΔS,ΔH,ΔG,A,general,hard
905,Which reactor design assumes complete mixing and steady state operation? ,CSTR,PFR,Batch,SBR,A,general,hard
906,What are the units of molar absorptivity in the Beer–Lambert law? ,L mol-1 cm-1,cm₂,mol/L,dimensionless,A,general,hard
907,The concentration unit normality is defined as equivalents per what volume of solution? ,liters,moles,moles of solvent,grams,A,general,hard
908,In Michaelis–Menten kinetics Vmax is reached at what substrate concentration? ,infinite,Km,Km/2,0,A,general,hard
909,In a working galvanic cell positively charged ions migrate toward which electrode? ,cathode,anode,salt bridge,electrolyte,A,general,hard
910,Which amphoteric oxide reacts with both acids and bases? ,Al₂O₃,CO₂,SiO₂,Na₂O,A,general,hard
911,In the Born–Landé equation for lattice energy the Madelung constant is determined by what property? ,crystal structure,temperature,pressure,composition,A,general,hard
912,Which chromatographic technique can resolve enantiomers? ,chiral chromatography,distillation,crystallization,extraction,A,general,hard
913,Which gas-phase molecule can form intermolecular hydrogen bonds? ,water,methane,CO₂,O₂,A,general,hard
914,Which common radical polymerization initiator has a half-life near 60 °C? ,AIBN,benzoyl peroxide,di-tert-butyl peroxide,K₂S₂O₈,A,general,hard
915,Which acid–base definition describes acids as electron pair acceptors? ,Lewis,Arrhenius,Brønsted–Lowry,Brønsted,A,general,hard
916,What is the general formula for perovskite crystal structures? ,ABX₃,AX,AB₂X₄,A₂BX₄,A,general,hard
917,Which electronic transition is spin-forbidden? ,triplet to singlet,singlet to singlet,doublet to doublet,quartet to quartet,A,general,hard
918,In chromatography the resolution between two analytes is a measure of what property? ,separation efficiency,retention factor,selectivity,capacity factor,A,general,hard
919,Which pericyclic reaction proceeds through a concerted cyclic transition state? ,SN₂,Diels–Alder,E₁,radical,B,general,hard
920,A positive Hammett substituent constant σ indicates which electronic effect?, electron-withdrawing,electron-donating,neutral,radical-stabilizing,A,general,hard
921,In which titration of acid and base is there a pronounced buffer region? ,weak acid with strong base,strong acid with strong base,weak acid with weak base,strong acid with weak base,B,general,hard
922,Which empirical formula describes the temperature dependence of gas viscosity? ,Sutherland’s formula,Boyle’s law,Charles’s law,Dalton’s law,A,general,hard
923,What symbol denotes the glass transition temperature of a polymer? ,Tg,Tm,Tc,Cp,A,general,hard
924,In cyclic voltammetry under diffusion control peak current is proportional to which factor? ,square root of scan rate,scan rate,inverse scan rate,square root of concentration,A,general,hard
925,Which pH indicator is appropriate for titrating a weak base with a strong acid? ,methyl orange,phenolphthalein,bromothymol blue,thymol blue,A,general,hard
926,Which amino acid side chains contribute to protein absorbance at 280 nm? ,aromatic,peptide bond,disulfide bond,sugar moiety,A,general,hard
927,Which zeolite type is widely used as a catalyst in fluid catalytic cracking? ,ZSM-5,LTA,Y,X,C,general,hard
928,Ligand field theory combines crystal field theory with which other model? ,molecular orbital,VSEPR,Valence bond,HSAB,A,general,hard
929,Which close-packed metal crystal structure has a packing efficiency of 74%?, face-centered cubic,body-centered cubic,simple cubic,hexagonal close-packed,A,general,hard
930,Which reaction on benzene is classified as electrophilic aromatic substitution? ,nitration,hydrogenation,aliphatic halogenation,SN₁,A,general,hard
931,What is the molecular point group of methane CH₄? ,Td,Oh,C₃v,D₂h,A,general,hard
932,Which hybridization describes square planar coordination in transition metal complexes? ,dsp₂,sp₃,sp₃d,d₂sp₃,A,general,hard
933,The compounds cisplatin and transplatin are examples of which isomer type? ,geometric,optical,structural,conformational,A,general,hard
934,Which paramagnetic species gives a characteristic EPR g value near 2.002? ,organic free radicals,O₂-,NO,Fe₃+,A,general,hard
935,In HSAB theory a hard acid preferentially binds to what type of base? ,hard base,soft base,transition metals,anions,A,general,hard
936,Which type of reaction mechanism is involved in Fenton chemistry producing hydroxyl radicals? ,radical chain,SN₁,E₁,pericyclic,A,general,hard
937,Which analytical technique uses gas adsorption to determine the surface area of a solid? ,BET method,TGA,DSC,NMR,A,general,hard
938,What term describes a solid salt absorbing atmospheric moisture to form a solution? ,deliquescence,efflorescence,hydration,crystallization,A,general,hard
939,Which ligand binds metals via a sulfur donor atom? ,thiolate,nitrile,phosphine,imidazole,A,general,hard
940,The degree of polymerization of a polymer chain refers to what? ,average number of monomer units,molecular weight,length,density,A,general,hard
941,Which electrophoretic method separates biomolecules based on their isoelectric point? ,isoelectric focusing,SDS-PAGE,size exclusion chromatography,ion exchange chromatography,A,general,hard
942,Which Lewis acid catalyst is employed in Friedel–Crafts acylation reactions? ,AlCl₃,FeCl₃,H₂SO₄,HCl,A,general,hard
943,Calculate the molarity of a solution with 10 g of pyridine MW 79 g/mol in 250 mL.,0.506 M,0.253 M,0.101 M,0.789 M,A,general,hard
944,Which acidic pollutant gas is commonly removed from flue gas by absorption in aqueous NaOH? ,SO₂,CO₂,NO₂,HCl,A,general,hard
945,In thin-layer chromatography what is the Rf value if a compound moves 3 cm and the solvent front moves 6 cm? ,0.5,0.33,2,1.5,A,general,hard
946,Which vitamin-derived cofactor is essential for decarboxylation of α-keto acids? ,thiamine pyrophosphate,NAD,FAD,biotin,A,general,hard
947,In a conventional cell diagram with the anode on the left electrons flow in which direction? ,left to right,right to left,up to down,down to up,A,general,hard
948,What is the chemical symbol for sodium?,Na,S,N,So,A,inorganic ,easy
949,What is the atomic number of oxygen?,8,16,6,10,A,inorganic ,easy
950,Which element is a noble gas?,Argon,Chlorine,Oxygen,Fluorine,A,inorganic ,easy
951,What is the formula for water?,H₂O,HO₂,O₂H,HHO,A,inorganic ,easy
952,Which element has atomic number 1?,Hydrogen,Helium,Lithium,Beryllium,A,inorganic ,easy
953,What is the symbol for chlorine?,Cl,Ch,C,Cl₂,A,inorganic ,easy
954,Which element is a halogen?,Fluorine,Sodium,Neon,Calcium,A,inorganic ,easy
955,What is the charge of a proton?,1,0,-1,2,A,inorganic ,easy
956,What is the chemical symbol for iron?,Fe,Ir,In,Fr,A,inorganic ,easy
957,Which element is a metal?,Iron,Oxygen,Nitrogen,Chlorine,A,inorganic ,easy
958,What is the formula for magnesium oxide?,MgO,MgO₂,Mg₂O,MOg,A,inorganic ,easy
959,Which element is at the top of Group 1?,Hydrogen,Lithium,Sodium,Potassium,A,inorganic ,easy
960,What is the symbol for potassium?,K,Po,Pt,P,A,inorganic ,easy
961,What is the atomic mass of carbon approximately?,12,6,14,16,A,inorganic ,easy
962,Which element is commonly used in light bulb filaments?,Tungsten,Lead,Gold,Silver,A,inorganic ,easy
963,What is the formula for table salt?,NaCl,KCl,CaCl₂,Na₂Cl,A,inorganic ,easy
964,Which element is a liquid at room temperature?,Mercury,Gold,Zinc,Lead,A,inorganic ,easy
965,What is the chemical symbol for silver?,Ag,Si,Au,Al,A,inorganic ,easy
966,Which element is in Group 2?,Magnesium,Potassium,Sodium,Aluminum,A,inorganic ,easy
967,What is the valence of noble gases?,0,1,2,3,A,inorganic ,easy
968,What is the electron configuration of helium?,1s₂,1s₁,2s₂,2p₂,A,inorganic ,easy
969,Which element is named after a planet?,Mercury,Venus,Earth,Mars,A,inorganic ,easy
970,What is the chemical formula of ammonia?,NH₃,NH₄,N₂H₃,NH₂,A,inorganic ,easy
971,Which element is ferromagnetic at room temperature?,Iron,Copper,Silver,Gold,A,inorganic ,easy
972,What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A,inorganic ,easy
973,What is the formula of carbon dioxide?,CO₂,CO,O₂C,CO₃,A,inorganic ,easy
974,Which gas exists as diatomic molecules under standard conditions?,Oxygen,Nitrogen,Chlorine,All of the above,D,inorganic ,easy
975,What is the oxidation state of sodium in NaCl?,1,-1,2,0,A,inorganic ,easy
976,Which is the hardest natural substance?,Diamond,Quartz,Graphite,Calcite,A,inorganic ,easy
977,Which element is required for nerve function?,Sodium,Argon,Neon,Helium,A,inorganic ,easy
978,What is the chemical symbol for calcium?,Ca,C,Cal,Cl,A,inorganic ,easy
979,What is the formula for sulfuric acid?,H₂SO₄,H₂SO₃,H₂S,O₂SO₂,A,inorganic ,easy
980,Which element is used in thermometers?,Mercury,Lead,Lithium,Iron,A,inorganic ,easy
981,Which gas is produced in respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,A,inorganic ,easy
982,Which element is an alkaline earth metal?,Calcium,Potassium,Sodium,Aluminum,A,inorganic ,easy
983,What is the symbol for copper?,Cu,Cupr,Co,Cp,A,inorganic ,easy
984,Which element has the symbol Pb?,Lead,Potassium,Polonium,Platinum,A,inorganic ,easy
985,What is the formula for calcium carbonate?,CaCO₃,CaCO₂,CO₃Ca,CaC₃O,A,inorganic ,easy
986,Which element is most abundant in the Earth's crust?,Oxygen,Silicon,Aluminum,Iron,A,inorganic ,easy
987,What is the unit for molar mass?,g/mol,kg/mol,mg/mol,ton/mol,A,inorganic ,easy
988,Which gas is lighter than air?,Hydrogen,Carbon dioxide,Oxygen,Nitrogen,A,inorganic ,easy
989,Which element is used in aircraft construction?,Aluminum,Iron,Lead,Gold,A,inorganic ,easy
990,What is the pH of pure water?,7,1,14,0,A,inorganic ,easy
991,Which element is used in neon signs?,Neon,Argon,Xenon,Krypton,A,inorganic ,easy
992,Which element is used as nuclear fuel?,Uranium,Plutonium,Thorium,Radium,A,inorganic ,easy
993,What is the atomic radius trend across a period?,Decreases,Increases,Constant,Varies unpredictably,A,inorganic ,easy
994,Which is the most electronegative element?,Fluorine,Oxygen,Chlorine,Nitrogen,A,inorganic ,easy
995,What type of bond is in HCl?,Polar covalent,Ionic,Metallic,Nonpolar covalent,A,inorganic ,easy
996,Which element forms a⁺2 cation?,Calcium,Potassium,Chlorine,Oxygen,A,inorganic ,easy
997,What is the group number of halogens?,17,16,18,1,A,inorganic ,easy
998,What is the period number of carbon?,2,1,3,4,A,inorganic ,easy
999,Which element is chemically inert under standard conditions?,Argon,Chlorine,Oxygen,Fluorine,A,inorganic ,easy
1000,What is the chemical formula of rust?,Fe₂O₃,FeO,Fe₃O₄,FeO₂,A,inorganic ,easy
1001,Which element has the highest melting point?,Tungsten,Carbon,Iron,Nickel,A,inorganic ,easy
1002,What is the electron configuration of neon?,1s₂ 2s₂ 2p₆,1s₂ 2s₂ 2p₅,1s₂ 2s₁ 2p₆,1s₁ 2s₂ 2p₆,A,inorganic ,easy
1003,Which is a transition metal?,Copper,Calcium,Potassium,Chlorine,A,inorganic ,easy
1004,What is the chemical symbol for gold?,Au,Ag,Al,Ar,A,inorganic ,easy
1005,Which element is in Group 17?,Chlorine,Scandium,Calcium,Carbon,A,inorganic ,easy
1006,Which is the lightest noble gas?,Helium,Neon,Argon,Krypton,A,inorganic ,easy
1007,Which inert gas is commonly used to fill party balloons?,Helium,Neon,Argon,Krypton,A,inorganic ,easy
1008,Which element burns with a red flame test?,Lithium,Sodium,Potassium,Copper,A,inorganic ,easy
1009,What color flame does sodium produce?,Yellow,Orange,Red,Blue,A,inorganic ,easy
1010,Which metal is liquid at room temperature?,Mercury,Lead,Bismuth,Francium,A,inorganic ,easy
1011,What is the formula for ammonia?,NH₃,NH₄,N₂H₄,NO₃,A,inorganic ,easy
1012,Which element has atomic number 29?,Copper,Zinc,Nickel,Iron,A,inorganic ,easy
1013,What is the formula for ozone?,O₃,O₂,O,O₄,A,inorganic ,easy
1014,Which element is radioactive?,Uranium,Gold,Silver,Copper,A,inorganic ,easy
1015,What is the oxidation state of chlorine in HCl?,-1,1,0,2,A,inorganic ,easy
1016,Which is an alkali metal?,Sodium,Magnesium,Aluminum,Calcium,A,inorganic ,easy
1017,Which is an alkaline earth metal?,Magnesium,Sodium,Aluminum,Potassium,A,inorganic ,easy
1018,Which element is used in fireworks to produce green color?,Barium,Strontium,Calcium,Magnesium,A,inorganic ,easy
1019,Which element is essential for hemoglobin?,Iron,Magnesium,Calcium,Potassium,A,inorganic ,easy
1020,What is the formula for calcium hydroxide?,Ca(OH)₂,CaOH,CaO₂,(OH)₂Ca,A,inorganic ,easy
1021,Which element has the symbol Ag?,Silver,Gold,Tin,Aluminum,A,inorganic ,easy
1022,What is the formula for nitric acid?,HNO₃,HNO₂,HOH,NOH,A,inorganic ,easy
1023,Which element increases corrosion resistance when alloyed with steel?,Chromium,Nickel,Carbon,Molybdenum,A,inorganic ,easy
1024,What is the group number of carbon?,14,15,16,17,A,inorganic ,easy
1025,Which element is a metalloid?,Silicon,Aluminum,Iron,Calcium,A,inorganic ,easy
1026,Which gas is produced by alkaline batteries?,Hydrogen,Oxygen,Nitrogen,Chlorine,A,inorganic ,easy
1027,What is the chemical symbol for lead?,Pb,Le,Ld,Pl,A,inorganic ,easy
1028,Which element is used in semiconductors?,Silicon,Germanium,Lead,Arsenic,A,inorganic ,easy
1029,Which element has atomic number 47?,Silver,Gold,Platinum,Copper,A,inorganic ,easy
1030,Which element is used in infrared detectors?,Germanium,Silicon,Selenium,Arsenic,A,inorganic ,easy
1031,What is the formula for hydrogen peroxide?,H₂O₂,H₂O,O₂H₂,HO₂,A,inorganic ,easy
1032,Which metal is non-magnetic?,Copper,Iron,Nickel,Cobalt,A,inorganic ,easy
1033,Which element is essential for thyroid hormones?,Iodine,Fluorine,Bromine,Chlorine,A,inorganic ,easy
1034,Which element is a gas at STP?,Nitrogen,Oxygen,Argon,All of the above,D,inorganic ,easy
1035,What is the formula for hydrochloric acid?,HCl,HCl₂,ClH,HC,A,inorganic ,easy
1036,Which element is used as a catalyst in catalytic converters?,Platinum,Palladium,Gold,Silver,A,inorganic ,easy
1037,Which element is named after Marie Curie?,Curium,Einsteinium,Polonium,Americium,A,inorganic ,easy
1038,Which element is in Group 18?,Neon,Oxygen,Nitrogen,Fluorine,A,inorganic ,easy
1039,What type of crystal structure does sodium chloride have?,Face-centered cubic,Body-centered cubic,Hexagonal close-packed,Tetragonal,A,inorganic ,easy
1040,Which nonmetal is liquid at room temperature?,Bromine,Chlorine,Iodine,Fluorine,A,inorganic ,easy
1041,Which metal is used in dental amalgam?,Mercury,Gold,Silver,Iron,A,inorganic ,easy
1042,What is the color of copper(II) sulfate solution?,Blue,Green,Yellow,Red,A,inorganic ,easy
1043,Which element is used in light-emitting diodes?,Gallium,Indium,Phosphorous,Silicon,A,inorganic ,easy
1044,Which crystalline form of carbon is soft and used as lubricant?,Graphite,Diamond,Fullerene,Graphene,A,inorganic ,easy
1045,Which element is used in photoelectric cells?,Selenium,Cadmium,Zinc,Copper,A,inorganic ,easy
1046,Which gas is added to breathing mixtures for deep diving to reduce narcosis?,Helium,Nitrogen,Oxygen,Carbon dioxide,A,inorganic ,easy
1047,Which element is used in solder?,Tin,Lead,Silver,Copper,A,inorganic ,easy
1048,Which element exhibits the oxidation states⁺2 and⁺4 in its stable compounds?,Ca,Sn,Fe,Zn,B,inorganic,medium
1049,What is the coordination number of the central metal in [Cr(NH₃)₆]3+?,6,4,8,2,A,inorganic,medium
1050,Which ligand produces the largest crystal field splitting in octahedral complexes?,CN-,H₂O,Cl-,NH₃,A,inorganic,medium
1051,The color of [Cu(H₂O)₆]₂+ is due to which type of electronic transition?,d-d,charge transfer,ligand-to-metal,metal-to-ligand,A,inorganic,medium
1052,Which oxide is amphoteric?,ZnO,CaO,SiO₂,P₂O₅,A,inorganic,medium
1053,Which halogen disproportionates in alkaline solution to form hypochlorite and chlorate?,Cl₂,F₂,Br₂,I₂,A,inorganic,medium
1054,What is the molecular geometry of XeF₄?,square planar,tetrahedral,octahedral,trigonal bipyramidal,A,inorganic,medium
1055,Which metal is present in Mohr's salt?,Fe,Cu,Zn,Mn,A,inorganic,medium
1056,What is the point group of the BF₃ molecule?,D₃h,C₃v,D∞h,Td,A,inorganic,medium
1057,Which acid is stronger in aqueous solution?,HClO₄,HClO₃,HClO₂,HClO,A,inorganic,medium
1058,What is the oxidation state of Cr in K₂Cr₂O₇?,6,3,2,4,A,inorganic,medium
1059,Which ion is isoelectronic with argon?,Cl-,K+,Ca₂+,S₂-,A,inorganic,medium
1060,Which metal forms a galvanic cell with the most negative standard reduction potential?,Li,Mg,Zn,Cu,A,inorganic,medium
1061,What is the solubility product expression for CaF₂?,[Ca₂+][F-]₂,[CaF₂],[Ca₂+]²[F-],[Ca₂+][F-],A,inorganic,medium
1062,Which transition metal complex is paramagnetic with three unpaired electrons?,[Fe(H₂O)₆]2+,[Co(NH₃)₆]3+,[Ni(CN)₄]2-,[MnO₄]-,A,inorganic,medium
1063,Which element has the highest first ionization energy among the alkali metals?,Li,Na,K,Rb,A,inorganic,medium
1064,What is the lattice structure of NaCl?,face-centered cubic,body-centered cubic,simple cubic,hexagonal close-packed,A,inorganic,medium
1065,Which oxide is basic?,Na₂O,CO₂,SO₃,P₂O₅,A,inorganic,medium
1066,What is the formula of aqua regia?,HCl:HNO₃ (3:1),HCl:H₂SO₄,HNO₃:H₂SO₄,HCl:HNO₂,A,inorganic,medium
1067,Which of the following is a Lewis acid?,BF₃,NH₃,Cl-,OH-,A,inorganic,medium
1068,What is the geometry of the sulfate ion SO₄₂-?,tetrahedral,Trigonal planar,bent,octahedral,A,inorganic,medium
1069,Which ligand is bidentate?,ethylenediamine,NH₃,H₂O,Cl-,A,inorganic,medium
1070,Which element undergoes f-block contraction across the lanthanide series?,lanthanum,gadolinium,ytterbium,cerium,C,inorganic,medium
1071,What is the oxidation state of Mn in MnO₄-?,7,6,4,2,A,inorganic,medium
1072,Which gas is released when acids react with carbonates?,CO₂,O₂,H₂,Cl₂,A,inorganic,medium
1073,Which complex is known as Prussian blue?,Fe₄[Fe(CN)₆]3,[Fe(H₂O)₆]2+,Fe₂O₃,[FeCl₄]-,A,inorganic,medium
1074,What is the magnetic behavior of [Ni(H₂O)₆]₂+?,paramagnetic,diamagnetic,ferromagnetic,antiferromagnetic,A,inorganic,medium
1075,Which alkali metal is most reactive with water?,Cs,Li,Na,K,A,inorganic,medium
1076,What is the coordination number of Cu in solid Cu₂O?,2,3,4,6,A,inorganic,medium
1077,Which phosphorus allotrope is most thermodynamically stable at room temperature?,white,red,black,violet,B,inorganic,medium
1078,What is the oxidation state of sulfur in SO₂?,4,2,6,0,A,inorganic,medium
1079,Which halide is least soluble in water?,AgCl,NaCl,KCl,CsCl,A,inorganic,medium
1080,What is the electron geometry of PF₅?,trigonal bipyramidal,octahedral,tetrahedral,linear,A,inorganic,medium
1081,Which transition metal is used as a catalyst in the Haber process?,Fe,Pd,Ni,Pt,A,inorganic,medium
1082,What is the name of the reaction: MnO₄- + 8 H+ + 5 e- → Mn₂+ + 4 H₂O?,reduction,oxidation,disproportionation,hydrolysis,A,inorganic,medium
1083,What is the molecular geometry of NH₃?,trigonal pyramidal,trigonal planar,tetrahedral,bent,A,inorganic,medium
1084,Which element forms a colored gas at room temperature?,Cl₂,O₂,Br₂,N₂,A,inorganic,medium
1085,Which oxide of nitrogen is a greenhouse gas?,N₂O,NO,NO₂,N₂,A,inorganic,medium
1086,What is the oxidation state of vanadium in VO₂+?,4,5,3,2,A,inorganic,medium
1087,Which ion forms a precipitate with sulfate ions?,Ba₂+,Na+,K+,NH₄+,A,inorganic,medium
